what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339535734282
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339535738263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339535744820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339535745389
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1339535748891
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535760492
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535760501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535760714
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535766730
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339535778875
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339535796913
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339535808144
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1339535813775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535826659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535826671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535826887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535835846
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339535835865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339535844637
