what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343344547198
opened,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343344556610
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343344556699
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1343344558892
no handler,command,org.eclipse.datatools.sqltools.result.ui,,"org.eclipse.datatools.sqltools.result.removeAllInstances",1343344560100
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343344560539
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1343344563353
activated,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343344565419
closed,editor,com.android.ide.eclipse.adt,20.0.2.v201207191942-407447,"com.android.ide.eclipse.editors.CommonXmlEditor",1343344565419
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1343344566485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344567618
error,log,,,"Internal Error",1343344568057
error,log,,,"Problems encountered while deleting resources.",1343344568061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344569923
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1343344569932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344572432
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344575244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1343344575253
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343344578075
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344580924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344583026
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1343344590913
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343344633909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343344638215
