what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722110939
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722116321
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349722116336
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722120034
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722188868
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722196288
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722196288
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722196444
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722206303
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349722214363
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722254721
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722276529
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349722276561
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349722288510
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722302114
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722311990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722325454
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722354361
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722358704
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349722400416
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349722400447
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1349727010561
opened,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1349727010951
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1349727010982
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727016988
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727082893
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349727087723
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727165503
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727529905
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727529925
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727542425
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349727542535
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349728091203
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1349728091209
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349728091869
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349729204732
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349729204770
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349729207274
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349729216545
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349729243321
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349729543678
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349729544037
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349729703796
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1349729713893
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349729716072
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.ClassFileEditor",1349729716073
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349729718170
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349729730652
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349729750671
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349730418236
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349730418284
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349730424062
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349730458920
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730461589
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730464708
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1349730485063
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1349730488905
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349730490605
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730498248
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1349730508522
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349730510217
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1349730564667
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349730564706
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730565893
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730567427
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1349730570767
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1349730572161
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1349730576461
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730577234
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730584873
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1349730596219
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1349730607798
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1349730608151
