what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866235251
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866237920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866239184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866239398
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866242587
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866243882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866244341
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866259417
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866261136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866261317
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1346866275447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346866281762
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1346866282684
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1346866282854
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866283971
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1346866301680
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346866303796
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866306053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866307177
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866307777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346866338398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346866413219
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346866421568
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866425948
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866429771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866430928
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866432042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346866442979
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1346866450257
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1346866450278
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1346866450396
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1346866450865
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1346866450900
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1346866450905
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1346866450933
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1346866450936
started,bundle,com.android.ide.eclipse.ndk,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ndk",1346866451098
started,bundle,com.android.ide.eclipse.ddms,20.0.2.v201207191942-407447,"com.android.ide.eclipse.ddms",1346866451238
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1346866454519
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866455780
started,bundle,com.android.ide.eclipse.traceview,20.0.2.v201207191942-407447,"com.android.ide.eclipse.traceview",1346866455796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866457479
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346866459529
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346866460079
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346866464288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346866464441
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346866465055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346866465640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346866466023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346866475725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866482386
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866486107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866486467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866490447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866492073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866493721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866494041
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346866984081
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346866987246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867038447
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867118881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867136167
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867137218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867151255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867339613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867360851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867366466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867487835
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867507493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867584920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867817694
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346867864807
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346867872639
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867895299
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867970023
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1346867970055
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867972538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867972629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346867974652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346868001022
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346868001052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346868008891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346868014141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346868076617
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1346868082613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1346868083208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346868084076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346868086614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346868218987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346868493918
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346868496295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881110346
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1346881136212
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346881136410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881185049
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881317903
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881319884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881514198
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881516131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881518121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881518462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881518562
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881521133
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881522381
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881526218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881538304
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881551733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881579737
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881588587
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881588725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881591810
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881670872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881673591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881811487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881840524
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881843110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881844554
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881845927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881846651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881849964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881850987
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881853817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346881940018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882057613
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882059529
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882061050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882063149
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882141912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346882150679
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346882154407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346882155939
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882165826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882174362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882180566
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882190243
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1346882190253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882194836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882218725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346882220955
