what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791429984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791430121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791430209
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791432062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791433257
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791539693
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339791539713
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339791542688
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339791542904
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339791542936
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339791544388
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339791544879
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339791544879
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1339791548540
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339791577722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791584553
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791683999
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339791684010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791692639
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791692648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791692864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339791771110
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339791771135
