what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350596121615
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350596122318
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350596122526
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350596135535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350596141982
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350596153227
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596191186
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596191270
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350596216508
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596216709
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596216780
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596279280
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350596351797
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596352026
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596352090
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1350596361390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596363713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596363823
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596363862
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596372965
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596505131
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350596534988
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596663494
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596663966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350596685795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596690473
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596692012
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596712574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596714027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350596726226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596729448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596731252
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350596734851
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350596748278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596749354
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596749846
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596750342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596750785
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596751198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596751587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1350596752055
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350596753136
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350596901345
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597270521
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350597270546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597329939
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597339947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597347433
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597370190
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350597370228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597384804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597467015
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350597467458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597470619
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597476677
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1350597481744
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350597488596
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350597488674
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1350597491558
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1350597492220
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1350597492344
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350597508758
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1350597509543
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597514537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597528958
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1350597532684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597534115
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597534225
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1350597536743
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1350597539567
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597549097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597549116
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597549412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1350597919558
